Time[ms], WallSen FL, WallSen L, WallSen R, WallSen FR, Machine V, Mot V L, Mot V R, Mot V LR, Machine Angular, Mot Angular, IMU Angular Z, Machine Angle, Mot Angle, IMU Angle, Mot Distance X, Mot Distance Y, IMU Global Angle
0 ,405 ,443 ,48 ,277 ,700 ,674.217407 ,627.179016 ,650.698242 ,0.000000 ,42.110989 ,10.914635 ,0.000000 ,-0.070185 ,0.000000 ,0.000000 ,0.000000 ,-0.739878
1 ,405 ,443 ,48 ,277 ,700 ,674.217407 ,674.217407 ,674.217407 ,14.298446 ,0.000000 ,7.743903 ,0.000000 ,-0.070185 ,0.007744 ,-0.000826 ,0.674217 ,-0.732134
2 ,409 ,442 ,46 ,277 ,700 ,674.217407 ,674.217407 ,674.217407 ,28.596891 ,0.000000 ,5.609756 ,0.000000 ,-0.070185 ,0.013354 ,-0.001652 ,1.348434 ,-0.726524
3 ,412 ,438 ,45 ,281 ,700 ,689.896912 ,658.537964 ,674.217407 ,42.895336 ,28.073992 ,4.024390 ,0.000000 ,-0.042111 ,0.017378 ,-0.002147 ,2.022651 ,-0.722500
4 ,416 ,441 ,47 ,286 ,700 ,721.255859 ,611.499512 ,666.377686 ,57.193783 ,98.258972 ,-0.243902 ,0.000000 ,0.056148 ,0.017134 ,-0.001494 ,2.689029 ,-0.722744
5 ,419 ,440 ,48 ,289 ,700 ,721.255859 ,580.140564 ,650.698242 ,71.492226 ,126.332962 ,-3.597561 ,0.000000 ,0.182481 ,0.013537 ,0.000578 ,3.339724 ,-0.726341
6 ,419 ,440 ,48 ,289 ,700 ,768.294250 ,533.102173 ,650.698242 ,85.790672 ,210.554947 ,-3.414634 ,0.000000 ,0.393036 ,0.010122 ,0.005042 ,3.990407 ,-0.729756
7 ,426 ,438 ,47 ,290 ,700 ,783.973755 ,533.102173 ,658.537964 ,100.089119 ,224.591934 ,4.817073 ,0.000000 ,0.617628 ,0.014939 ,0.012140 ,4.648906 ,-0.724939
8 ,432 ,438 ,46 ,295 ,700 ,815.332703 ,501.743195 ,658.537964 ,114.387566 ,280.739929 ,15.975610 ,0.000000 ,0.898368 ,0.030915 ,0.022465 ,5.307363 ,-0.708963
9 ,445 ,440 ,55 ,298 ,700 ,799.653198 ,501.743195 ,650.698242 ,128.686005 ,266.702942 ,35.182926 ,0.000000 ,1.165071 ,0.066098 ,0.035696 ,5.957927 ,-0.673781
10 ,445 ,440 ,55 ,298 ,700 ,831.012207 ,533.102173 ,682.057190 ,142.984451 ,266.702942 ,65.670731 ,0.000000 ,1.431774 ,0.131768 ,0.052738 ,6.639771 ,-0.608110
11 ,448 ,434 ,47 ,297 ,700 ,815.332703 ,548.781616 ,682.057190 ,157.282898 ,238.628937 ,97.378052 ,0.000000 ,1.670403 ,0.229146 ,0.072620 ,7.321538 ,-0.510732
12 ,463 ,428 ,48 ,295 ,700 ,799.653198 ,580.140564 ,689.896912 ,171.581345 ,196.517944 ,129.024399 ,0.000000 ,1.866921 ,0.358171 ,0.095096 ,8.011069 ,-0.381707
13 ,479 ,422 ,47 ,294 ,700 ,783.973755 ,580.140564 ,682.057190 ,185.879791 ,182.480957 ,152.500000 ,0.000000 ,2.049402 ,0.510671 ,0.119487 ,8.692690 ,-0.229207
14 ,494 ,419 ,49 ,294 ,700 ,736.935303 ,595.820068 ,666.377686 ,200.178238 ,126.332962 ,167.500000 ,0.000000 ,2.175735 ,0.678171 ,0.144786 ,9.358587 ,-0.061707
15 ,494 ,419 ,49 ,294 ,700 ,736.935303 ,580.140564 ,658.537964 ,214.476685 ,140.369965 ,174.390244 ,0.000000 ,2.316104 ,0.852561 ,0.171399 ,10.016587 ,0.112683
16 ,516 ,413 ,48 ,290 ,700 ,736.935303 ,595.820068 ,666.377686 ,228.775131 ,126.332962 ,178.353668 ,0.000000 ,2.442437 ,1.030915 ,0.199797 ,10.682360 ,0.291037
17 ,531 ,409 ,48 ,290 ,700 ,783.973755 ,564.461121 ,674.217407 ,243.073578 ,196.517944 ,178.841461 ,0.000000 ,2.638955 ,1.209756 ,0.230840 ,11.355863 ,0.469878
18 ,545 ,404 ,48 ,291 ,700 ,799.653198 ,564.461121 ,682.057190 ,257.372009 ,210.554947 ,174.573181 ,0.000000 ,2.849510 ,1.384329 ,0.264747 ,12.037076 ,0.644451
19 ,564 ,401 ,50 ,292 ,700 ,815.332703 ,501.743195 ,658.537964 ,271.670441 ,280.739929 ,176.768295 ,0.000000 ,3.130250 ,1.561098 ,0.300707 ,12.694632 ,0.821220
20 ,564 ,401 ,50 ,292 ,700 ,846.691650 ,454.704773 ,650.698242 ,285.968872 ,350.924896 ,180.792694 ,0.000000 ,3.481175 ,1.741890 ,0.340218 ,13.344130 ,1.002012
21 ,586 ,393 ,48 ,287 ,700 ,862.371155 ,454.704773 ,658.537964 ,300.267303 ,364.961914 ,192.439026 ,0.000000 ,3.846137 ,1.934329 ,0.384390 ,14.001184 ,1.194451
22 ,601 ,383 ,47 ,284 ,700 ,909.409546 ,454.704773 ,682.057190 ,314.565735 ,407.072876 ,210.609756 ,0.000000 ,4.253210 ,2.144939 ,0.434975 ,14.681363 ,1.405061
23 ,622 ,377 ,48 ,284 ,700 ,909.409546 ,454.704773 ,682.057190 ,328.864166 ,407.072876 ,239.268295 ,0.000000 ,4.660283 ,2.384207 ,0.490390 ,15.361165 ,1.644329
24 ,622 ,377 ,48 ,284 ,700 ,862.371155 ,454.704773 ,658.537964 ,343.162598 ,364.961914 ,268.597565 ,0.000000 ,5.025245 ,2.652805 ,0.548075 ,16.017172 ,1.912927
25 ,646 ,371 ,47 ,281 ,700 ,862.371155 ,439.025299 ,650.698242 ,357.461029 ,378.998901 ,297.195129 ,0.000000 ,5.404244 ,2.950000 ,0.609359 ,16.664978 ,2.210122
26 ,666 ,362 ,48 ,280 ,700 ,878.050598 ,501.743195 ,689.896912 ,371.759460 ,336.887909 ,319.207336 ,0.000000 ,5.741132 ,3.269207 ,0.678372 ,17.351414 ,2.529330
27 ,678 ,349 ,46 ,274 ,700 ,846.691650 ,501.743195 ,674.217407 ,386.057892 ,308.813904 ,340.060974 ,0.000000 ,6.049946 ,3.609268 ,0.749431 ,18.021877 ,2.869390
28 ,691 ,343 ,46 ,275 ,700 ,846.691650 ,486.063721 ,666.377686 ,400.356323 ,322.850922 ,347.256104 ,0.000000 ,6.372797 ,3.956525 ,0.823397 ,18.684137 ,3.216647
29 ,691 ,343 ,46 ,275 ,700 ,831.012207 ,486.063721 ,658.537964 ,414.654755 ,308.813904 ,352.621948 ,0.000000 ,6.681611 ,4.309146 ,0.900020 ,19.338202 ,3.569268
30 ,689 ,333 ,37 ,270 ,700 ,846.691650 ,470.384247 ,658.537964 ,428.953186 ,336.887909 ,354.573181 ,0.000000 ,7.018498 ,4.663720 ,0.980486 ,19.991806 ,3.923842
31 ,701 ,324 ,44 ,268 ,700 ,862.371155 ,439.025299 ,650.698242 ,443.251617 ,378.998901 ,354.390259 ,0.000000 ,7.397497 ,5.018110 ,1.064265 ,20.637087 ,4.278232
32 ,697 ,317 ,46 ,267 ,700 ,925.089050 ,423.345825 ,674.217407 ,457.550049 ,449.183868 ,355.121948 ,0.000000 ,7.846681 ,5.373232 ,1.156311 ,21.304993 ,4.633354
33 ,686 ,310 ,45 ,267 ,700 ,925.089050 ,376.307404 ,650.698242 ,471.848480 ,491.294861 ,354.634155 ,0.000000 ,8.337976 ,5.727866 ,1.250670 ,21.948812 ,4.987988
34 ,686 ,310 ,45 ,267 ,700 ,956.447998 ,360.627930 ,658.537964 ,486.146912 ,533.405884 ,361.585388 ,0.000000 ,8.871382 ,6.089452 ,1.352228 ,22.599472 ,5.349574
35 ,669 ,304 ,45 ,269 ,700 ,956.447998 ,329.268982 ,642.858459 ,500.445343 ,561.479858 ,377.317078 ,0.000000 ,9.432862 ,6.466769 ,1.457587 ,23.233639 ,5.726891
36 ,655 ,301 ,40 ,265 ,700 ,1019.165894 ,329.268982 ,674.217407 ,514.743774 ,617.627808 ,398.292694 ,0.000000 ,10.050489 ,6.865061 ,1.575249 ,23.897509 ,6.125184
37 ,638 ,302 ,41 ,263 ,700 ,1019.165894 ,344.948456 ,682.057190 ,529.042236 ,603.590820 ,424.146362 ,0.000000 ,10.654080 ,7.289208 ,1.701347 ,24.567808 ,6.549330
38 ,638 ,302 ,41 ,263 ,700 ,1019.165894 ,329.268982 ,674.217407 ,543.340698 ,617.627808 ,447.439026 ,0.000000 ,11.271708 ,7.736647 ,1.833131 ,25.229021 ,6.996769
39 ,607 ,317 ,38 ,272 ,700 ,1003.486389 ,313.589508 ,658.537964 ,557.639160 ,617.627808 ,474.451233 ,0.000000 ,11.889337 ,8.211098 ,1.968804 ,25.873432 ,7.471220
40 ,588 ,331 ,39 ,267 ,700 ,956.447998 ,344.948456 ,650.698242 ,571.937622 ,547.442871 ,497.682953 ,0.000000 ,12.436779 ,8.708781 ,2.108940 ,26.508862 ,7.968903
41 ,566 ,341 ,34 ,261 ,700 ,987.806946 ,360.627930 ,674.217407 ,586.236084 ,561.479858 ,519.817078 ,0.000000 ,12.998260 ,9.228599 ,2.260586 ,27.165804 ,8.488720
42 ,545 ,345 ,34 ,257 ,700 ,972.127441 ,376.307404 ,674.217407 ,600.534546 ,533.405884 ,537.012207 ,0.000000 ,13.531665 ,9.765611 ,2.418341 ,27.821304 ,9.025732
43 ,545 ,345 ,34 ,257 ,700 ,972.127441 ,376.307404 ,674.217407 ,614.833008 ,533.405884 ,548.841492 ,0.000000 ,14.065071 ,10.314452 ,2.582192 ,28.475309 ,9.574574
44 ,521 ,342 ,31 ,256 ,700 ,940.768494 ,344.948456 ,642.858459 ,629.131470 ,533.405884 ,554.268311 ,0.000000 ,14.598476 ,10.868720 ,2.744220 ,29.097414 ,10.128842
45 ,515 ,327 ,32 ,256 ,700 ,972.127441 ,329.268982 ,650.698242 ,643.429932 ,575.516846 ,555.792725 ,0.000000 ,15.173994 ,11.424513 ,2.914541 ,29.725426 ,10.684635
46 ,506 ,310 ,29 ,254 ,700 ,1019.165894 ,329.268982 ,674.217407 ,657.728394 ,617.627808 ,553.231750 ,0.000000 ,15.791621 ,11.977745 ,3.098022 ,30.374197 ,11.237866
47 ,502 ,298 ,31 ,250 ,700 ,1050.524780 ,297.910034 ,674.217407 ,672.026855 ,673.775818 ,552.134155 ,0.000000 ,16.465397 ,12.529879 ,3.289120 ,31.020765 ,11.790001
48 ,502 ,298 ,31 ,250 ,700 ,1066.204346 ,250.871597 ,658.537964 ,686.325317 ,729.923828 ,557.378052 ,0.000000 ,17.195322 ,13.087257 ,3.483804 ,31.649868 ,12.347379
49 ,505 ,308 ,32 ,258 ,700 ,1066.204346 ,203.833176 ,635.018738 ,700.623779 ,772.034790 ,567.134155 ,0.000000 ,17.967356 ,13.654391 ,3.679691 ,32.253918 ,12.914514
50 ,513 ,312 ,36 ,252 ,700 ,1128.922241 ,203.833176 ,666.377686 ,714.922241 ,828.182800 ,581.280518 ,0.000000 ,18.795538 ,14.235672 ,3.894393 ,32.884762 ,13.495793
51 ,513 ,314 ,35 ,246 ,700 ,1128.922241 ,203.833176 ,666.377686 ,729.220703 ,828.182800 ,600.609741 ,0.000000 ,19.623722 ,14.836282 ,4.118190 ,33.512436 ,14.096403
52 ,513 ,314 ,35 ,246 ,700 ,1160.281128 ,188.153702 ,674.217407 ,743.519165 ,870.293762 ,621.097595 ,0.000000 ,20.494015 ,15.457379 ,4.354240 ,34.143982 ,14.717501
53 ,518 ,323 ,36 ,240 ,700 ,1175.960571 ,188.153702 ,682.057190 ,757.817627 ,884.330750 ,640.548767 ,0.000000 ,21.378345 ,16.097927 ,4.602867 ,34.779106 ,15.358050
54 ,528 ,342 ,40 ,240 ,700 ,1144.601685 ,188.153702 ,666.377686 ,772.116089 ,856.256775 ,659.695129 ,0.000000 ,22.234604 ,16.757624 ,4.855024 ,35.395935 ,16.017746
55 ,531 ,357 ,40 ,237 ,700 ,1160.281128 ,172.474228 ,666.377686 ,786.414551 ,884.330750 ,677.439026 ,0.000000 ,23.118935 ,17.435062 ,5.116672 ,36.008797 ,16.695185
56 ,533 ,372 ,40 ,231 ,700 ,1144.601685 ,188.153702 ,666.377686 ,800.713013 ,856.256775 ,698.231750 ,0.000000 ,23.975191 ,18.133293 ,5.387448 ,36.617680 ,17.393415
57 ,533 ,372 ,40 ,231 ,700 ,1144.601685 ,203.833176 ,674.217407 ,802.140930 ,842.219788 ,717.134155 ,0.000000 ,24.817410 ,18.850428 ,5.670436 ,37.229633 ,18.110550
