Time[ms], WallSen FL, WallSen L, WallSen R, WallSen FR, Machine V, Mot V L, Mot V R, Mot V LR, Machine Angular, Mot Angular, IMU Angular Z, Machine Angle, Mot Angle, IMU Angle, Mot Distance X, Mot Distance Y, IMU Global Angle
25 ,558 ,358 ,39 ,239 ,800 ,925.089050 ,564.461121 ,744.775085 ,308.219116 ,322.850922 ,230.670731 ,0.000000 ,4.562024 ,2.583293 ,0.611211 ,19.105661 ,2.440183
26 ,572 ,350 ,40 ,236 ,800 ,972.127441 ,564.461121 ,768.294250 ,320.547882 ,364.961914 ,244.024399 ,0.000000 ,4.926986 ,2.827317 ,0.677197 ,19.871117 ,2.684207
27 ,585 ,344 ,40 ,237 ,800 ,956.447998 ,548.781616 ,752.614807 ,332.876648 ,364.961914 ,260.975616 ,0.000000 ,5.291948 ,3.088293 ,0.746611 ,20.620523 ,2.945183
28 ,591 ,334 ,39 ,234 ,800 ,972.127441 ,564.461121 ,768.294250 ,345.205414 ,364.961914 ,277.317078 ,0.000000 ,5.656910 ,3.365610 ,0.822343 ,21.385077 ,3.222500
29 ,591 ,334 ,39 ,234 ,800 ,956.447998 ,564.461121 ,760.454529 ,357.534180 ,350.924896 ,293.841461 ,0.000000 ,6.007834 ,3.659451 ,0.901935 ,22.141354 ,3.516342
30 ,604 ,327 ,44 ,234 ,800 ,987.806946 ,564.461121 ,776.134033 ,369.862946 ,378.998901 ,306.951233 ,0.000000 ,6.386834 ,3.966403 ,0.988273 ,22.912670 ,3.823293
31 ,603 ,321 ,38 ,235 ,800 ,956.447998 ,548.781616 ,752.614807 ,382.191711 ,364.961914 ,317.378052 ,0.000000 ,6.751795 ,4.283781 ,1.076757 ,23.660067 ,4.140671
32 ,604 ,309 ,37 ,232 ,800 ,972.127441 ,548.781616 ,760.454529 ,394.520477 ,378.998901 ,326.219513 ,0.000000 ,7.130795 ,4.610000 ,1.171156 ,24.414639 ,4.466890
33 ,598 ,301 ,35 ,231 ,800 ,972.127441 ,533.102173 ,752.614807 ,406.849243 ,393.035889 ,333.536591 ,0.000000 ,7.523830 ,4.943537 ,1.269702 ,25.160774 ,4.800427
34 ,598 ,301 ,35 ,231 ,800 ,1003.486389 ,533.102173 ,768.294250 ,419.178009 ,421.109894 ,338.658539 ,0.000000 ,7.944940 ,5.282196 ,1.375897 ,25.921694 ,5.139086
35 ,589 ,297 ,35 ,233 ,800 ,1019.165894 ,517.422668 ,768.294250 ,431.506775 ,449.183868 ,347.865875 ,0.000000 ,8.394124 ,5.630061 ,1.488054 ,26.681757 ,5.486951
36 ,583 ,286 ,36 ,231 ,800 ,1019.165894 ,501.743195 ,760.454529 ,443.835541 ,463.220886 ,358.231720 ,0.000000 ,8.857345 ,5.988293 ,1.605144 ,27.433144 ,5.845183
37 ,567 ,278 ,31 ,231 ,800 ,1034.845337 ,486.063721 ,760.454529 ,456.164307 ,491.294861 ,372.195129 ,0.000000 ,9.348639 ,6.360488 ,1.728674 ,28.183498 ,6.217379
38 ,567 ,278 ,31 ,231 ,800 ,987.806946 ,486.063721 ,736.935303 ,468.493073 ,449.183868 ,387.012207 ,0.000000 ,9.797824 ,6.747500 ,1.854080 ,28.909685 ,6.604391
39 ,543 ,273 ,28 ,230 ,800 ,1050.524780 ,486.063721 ,768.294250 ,480.821838 ,505.331848 ,404.817078 ,0.000000 ,10.303156 ,7.152318 ,1.991494 ,29.665590 ,7.009208
40 ,526 ,270 ,31 ,229 ,800 ,1019.165894 ,517.422668 ,768.294250 ,493.150604 ,449.183868 ,424.695129 ,0.000000 ,10.752339 ,7.577013 ,2.134830 ,30.420395 ,7.433903
41 ,511 ,275 ,32 ,233 ,800 ,1034.845337 ,501.743195 ,768.294250 ,505.479370 ,477.257874 ,439.695129 ,0.000000 ,11.229597 ,8.016707 ,2.284449 ,31.173981 ,7.873598
42 ,494 ,281 ,30 ,229 ,800 ,1019.165894 ,501.743195 ,760.454529 ,517.808105 ,463.220886 ,452.439026 ,0.000000 ,11.692819 ,8.469147 ,2.438566 ,31.918655 ,8.326037
43 ,494 ,281 ,30 ,229 ,800 ,1019.165894 ,470.384247 ,744.775085 ,530.136841 ,491.294861 ,460.731720 ,0.000000 ,12.184114 ,8.929878 ,2.595753 ,32.646652 ,8.786769
44 ,475 ,294 ,28 ,227 ,800 ,1050.524780 ,486.063721 ,768.294250 ,542.465576 ,505.331848 ,464.451233 ,0.000000 ,12.689445 ,9.394330 ,2.764522 ,33.396183 ,9.251220
45 ,467 ,309 ,30 ,231 ,800 ,1050.524780 ,470.384247 ,760.454529 ,554.794312 ,519.368835 ,466.524414 ,0.000000 ,13.208814 ,9.860854 ,2.938286 ,34.136517 ,9.717745
46 ,453 ,315 ,29 ,228 ,800 ,1081.883789 ,454.704773 ,768.294250 ,567.123047 ,561.479858 ,470.914642 ,0.000000 ,13.770294 ,10.331769 ,3.121163 ,34.882729 ,10.188660
47 ,451 ,316 ,28 ,226 ,800 ,1081.883789 ,423.345825 ,752.614807 ,579.451782 ,589.553833 ,480.000000 ,0.000000 ,14.359848 ,10.811769 ,3.307820 ,35.611832 ,10.668659
48 ,451 ,316 ,28 ,226 ,800 ,1081.883789 ,391.986877 ,736.935303 ,591.780518 ,617.627808 ,490.243927 ,0.000000 ,14.977476 ,11.302013 ,3.498273 ,36.323730 ,11.158903
49 ,445 ,305 ,30 ,226 ,800 ,1128.922241 ,391.986877 ,760.454529 ,604.109253 ,659.738831 ,503.292694 ,0.000000 ,15.637215 ,11.805305 ,3.703250 ,37.056038 ,11.662196
50 ,445 ,294 ,29 ,229 ,800 ,1160.281128 ,391.986877 ,776.134033 ,616.437988 ,687.812805 ,519.268311 ,0.000000 ,16.325027 ,12.324574 ,3.921411 ,37.800880 ,12.181464
51 ,454 ,282 ,33 ,225 ,800 ,1160.281128 ,391.986877 ,776.134033 ,628.766724 ,687.812805 ,533.170715 ,0.000000 ,17.012840 ,12.857745 ,4.148497 ,38.543053 ,12.714635
52 ,454 ,282 ,33 ,225 ,800 ,1175.960571 ,376.307404 ,776.134033 ,641.095459 ,715.886780 ,545.853699 ,0.000000 ,17.728727 ,13.403599 ,4.384838 ,39.282326 ,13.260489
53 ,457 ,275 ,34 ,222 ,800 ,1160.281128 ,360.627930 ,760.454529 ,653.424194 ,715.886780 ,557.134155 ,0.000000 ,18.444614 ,13.960732 ,4.625436 ,40.003716 ,13.817623
54 ,464 ,282 ,39 ,223 ,800 ,1160.281128 ,344.948456 ,752.614807 ,665.752930 ,729.923828 ,568.902466 ,0.000000 ,19.174538 ,14.529635 ,4.872630 ,40.714577 ,14.386525
55 ,471 ,292 ,38 ,220 ,800 ,1207.319580 ,360.627930 ,783.973755 ,678.081665 ,757.997803 ,581.524414 ,0.000000 ,19.932535 ,15.111159 ,5.139897 ,41.451588 ,14.968050
56 ,474 ,302 ,39 ,216 ,800 ,1191.640137 ,360.627930 ,776.134033 ,690.410400 ,743.960815 ,594.390259 ,0.000000 ,20.676497 ,15.705550 ,5.413943 ,42.177731 ,15.562440
57 ,474 ,302 ,39 ,216 ,800 ,1175.960571 ,344.948456 ,760.454529 ,702.739136 ,743.960815 ,607.378052 ,0.000000 ,21.420458 ,16.312927 ,5.691669 ,42.885654 ,16.169819
58 ,475 ,312 ,38 ,213 ,800 ,1175.960571 ,344.948456 ,760.454529 ,715.067871 ,743.960815 ,622.012207 ,0.000000 ,22.164417 ,16.934940 ,5.978562 ,43.589916 ,16.791830
59 ,479 ,338 ,40 ,212 ,800 ,1175.960571 ,344.948456 ,760.454529 ,727.396606 ,743.960815 ,638.597595 ,0.000000 ,22.908379 ,17.573538 ,6.274575 ,44.290394 ,17.430428
60 ,482 ,353 ,38 ,206 ,800 ,1160.281128 ,360.627930 ,760.454529 ,739.725342 ,715.886780 ,655.426819 ,0.000000 ,23.624266 ,18.228964 ,6.579318 ,44.987118 ,18.085855
61 ,482 ,353 ,38 ,206 ,800 ,1175.960571 ,360.627930 ,768.294250 ,744.845154 ,729.923828 ,673.414673 ,0.000000 ,24.354189 ,18.902380 ,6.896144 ,45.687042 ,18.759270
62 ,486 ,363 ,39 ,197 ,800 ,1144.601685 ,360.627930 ,752.614807 ,744.845154 ,701.849792 ,689.146362 ,0.000000 ,25.056040 ,19.591526 ,7.214880 ,46.368832 ,19.448416
63 ,490 ,374 ,37 ,192 ,800 ,1144.601685 ,376.307404 ,760.454529 ,744.845154 ,687.812805 ,701.585388 ,0.000000 ,25.743853 ,20.293112 ,7.545182 ,47.053806 ,20.150002
64 ,490 ,397 ,39 ,187 ,800 ,1128.922241 ,391.986877 ,760.454529 ,744.845154 ,659.738831 ,711.890259 ,0.000000 ,26.403591 ,21.005001 ,7.883349 ,47.734936 ,20.861891
65 ,491 ,411 ,39 ,180 ,800 ,1113.242676 ,391.986877 ,752.614807 ,744.845154 ,645.701843 ,715.609802 ,0.000000 ,27.049294 ,21.720612 ,8.225606 ,48.405224 ,21.577501
66 ,491 ,411 ,39 ,180 ,800 ,1144.601685 ,423.345825 ,783.973755 ,744.845154 ,645.701843 ,712.317078 ,0.000000 ,27.694994 ,22.432928 ,8.589970 ,49.099380 ,22.289818
67 ,494 ,428 ,40 ,177 ,800 ,1113.242676 ,439.025299 ,776.134033 ,744.845154 ,603.590820 ,702.743896 ,0.000000 ,28.298586 ,23.135672 ,8.957909 ,49.782761 ,22.992563
68 ,496 ,447 ,42 ,170 ,800 ,1128.922241 ,376.307404 ,752.614807 ,744.845154 ,673.775818 ,693.841492 ,0.000000 ,28.972361 ,23.829514 ,9.322466 ,50.441189 ,23.686403
69 ,497 ,468 ,41 ,171 ,800 ,1128.922241 ,391.986877 ,760.454529 ,744.845154 ,659.738831 ,691.280518 ,0.000000 ,29.632101 ,24.520794 ,9.698457 ,51.102188 ,24.377686
70 ,504 ,491 ,47 ,172 ,800 ,1160.281128 ,360.627930 ,760.454529 ,744.845154 ,715.886780 ,691.036621 ,0.000000 ,30.347988 ,25.211830 ,10.082677 ,51.758438 ,25.068722
71 ,504 ,491 ,47 ,172 ,800 ,1191.640137 ,376.307404 ,783.973755 ,744.845154 ,729.923828 ,689.268311 ,0.000000 ,31.077911 ,25.901100 ,10.487367 ,52.429886 ,25.757990
72 ,500 ,500 ,45 ,164 ,800 ,1175.960571 ,344.948456 ,760.454529 ,744.845154 ,743.960815 ,686.707336 ,0.000000 ,31.821873 ,26.587807 ,10.888339 ,53.076038 ,26.444696
73 ,499 ,522 ,47 ,158 ,800 ,1175.960571 ,329.268982 ,752.614807 ,744.845154 ,757.997803 ,684.695129 ,0.000000 ,32.579868 ,27.272503 ,11.293604 ,53.710224 ,27.129393
74 ,499 ,540 ,49 ,155 ,800 ,1207.319580 ,329.268982 ,768.294250 ,744.845154 ,786.071777 ,684.573181 ,0.000000 ,33.365940 ,27.957075 ,11.716153 ,54.351883 ,27.813965
75 ,499 ,540 ,49 ,155 ,800 ,1175.960571 ,313.589508 ,744.775085 ,744.845154 ,772.034790 ,687.682922 ,0.000000 ,34.137978 ,28.644758 ,12.134112 ,54.968327 ,28.501648
76 ,499 ,561 ,51 ,151 ,800 ,1191.640137 ,329.268982 ,760.454529 ,744.845154 ,772.034790 ,694.146362 ,0.000000 ,34.910011 ,29.338905 ,12.569312 ,55.591938 ,29.195795
77 ,496 ,586 ,55 ,148 ,800 ,1175.960571 ,329.268982 ,752.614807 ,744.845154 ,757.997803 ,699.817078 ,0.000000 ,35.668011 ,30.038721 ,13.008152 ,56.203369 ,29.895613
78 ,500 ,622 ,55 ,142 ,800 ,1175.960571 ,344.948456 ,760.454529 ,744.845154 ,743.960815 ,702.317078 ,0.000000 ,36.411968 ,30.741039 ,13.459548 ,56.815361 ,30.597929
79 ,499 ,665 ,59 ,141 ,800 ,1160.281128 ,344.948456 ,752.614807 ,744.845154 ,729.923828 ,700.792725 ,0.000000 ,37.141895 ,31.441832 ,13.913970 ,57.415302 ,31.298721
80 ,499 ,665 ,59 ,141 ,800 ,1175.960571 ,360.627930 ,768.294250 ,744.845154 ,729.923828 ,701.341492 ,0.000000 ,37.871819 ,32.143173 ,14.385624 ,58.021782 ,32.000065
81 ,502 ,711 ,67 ,140 ,800 ,1144.601685 ,360.627930 ,752.614807 ,744.845154 ,701.849792 ,702.195129 ,0.000000 ,38.573666 ,32.845367 ,14.854895 ,58.610180 ,32.702259
82 ,495 ,741 ,63 ,131 ,800 ,1175.960571 ,360.627930 ,768.294250 ,744.845154 ,729.923828 ,701.219543 ,0.000000 ,39.303593 ,33.546589 ,15.341555 ,59.204689 ,33.403477
83 ,489 ,751 ,66 ,126 ,800 ,1175.960571 ,376.307404 ,776.134033 ,744.845154 ,715.886780 ,697.378052 ,0.000000 ,40.019478 ,34.243965 ,15.840646 ,59.799072 ,34.100857
84 ,489 ,751 ,66 ,126 ,800 ,1160.281128 ,344.948456 ,752.614807 ,744.845154 ,729.923828 ,695.060974 ,0.000000 ,40.749401 ,34.939026 ,16.331917 ,60.369232 ,34.795918
85 ,487 ,762 ,70 ,124 ,800 ,1175.960571 ,360.627930 ,768.294250 ,744.845154 ,729.923828 ,696.158569 ,0.000000 ,41.479324 ,35.635185 ,16.840797 ,60.944832 ,35.492077
86 ,482 ,776 ,69 ,121 ,800 ,1175.960571 ,329.268982 ,752.614807 ,744.845154 ,757.997803 ,701.097595 ,0.000000 ,42.237324 ,36.336285 ,17.346706 ,61.502045 ,36.193172
87 ,478 ,795 ,71 ,114 ,800 ,1160.281128 ,360.627930 ,760.454529 ,744.845154 ,715.886780 ,702.682922 ,0.000000 ,42.953209 ,37.038967 ,17.864882 ,62.058628 ,36.895855
88 ,475 ,810 ,69 ,111 ,800 ,1175.960571 ,360.627930 ,768.294250 ,744.845154 ,729.923828 ,703.353699 ,0.000000 ,43.683136 ,37.742321 ,18.395519 ,62.614239 ,37.599209
89 ,475 ,810 ,69 ,111 ,800 ,1175.960571 ,344.948456 ,760.454529 ,744.845154 ,743.960815 ,707.073181 ,0.000000 ,44.427094 ,38.449394 ,18.927837 ,63.157310 ,38.306282
90 ,472 ,830 ,74 ,110 ,800 ,1160.281128 ,360.627930 ,760.454529 ,744.845154 ,715.886780 ,706.036621 ,0.000000 ,45.142982 ,39.155430 ,19.466900 ,63.693687 ,39.012321
91 ,461 ,857 ,62 ,107 ,800 ,1175.960571 ,360.627930 ,768.294250 ,744.845154 ,729.923828 ,704.085388 ,0.000000 ,45.872906 ,39.859516 ,20.018379 ,64.228615 ,39.716404
92 ,455 ,873 ,61 ,104 ,800 ,1160.281128 ,376.307404 ,768.294250 ,744.845154 ,701.849792 ,702.439026 ,0.000000 ,46.574757 ,40.561954 ,20.576370 ,64.756744 ,40.418846
93 ,455 ,873 ,61 ,104 ,800 ,1144.601685 ,344.948456 ,744.775085 ,744.845154 ,715.886780 ,698.597595 ,0.000000 ,47.290642 ,41.260551 ,21.123634 ,65.261909 ,41.117443
94 ,447 ,895 ,58 ,103 ,800 ,1175.960571 ,360.627930 ,768.294250 ,744.845154 ,729.923828 ,697.134155 ,0.000000 ,48.020565 ,41.957687 ,21.694773 ,65.775795 ,41.814575
95 ,442 ,931 ,57 ,103 ,800 ,1191.640137 ,360.627930 ,776.134033 ,744.845154 ,743.960815 ,698.048767 ,0.000000 ,48.764526 ,42.655735 ,22.278431 ,66.287392 ,42.512627
96 ,434 ,971 ,54 ,95 ,800 ,1144.601685 ,344.948456 ,744.775085 ,744.845154 ,715.886780 ,697.743896 ,0.000000 ,49.480415 ,43.353477 ,22.844597 ,66.771278 ,43.210369
97 ,434 ,971 ,54 ,95 ,800 ,1175.960571 ,360.627930 ,768.294250 ,744.845154 ,729.923828 ,695.609802 ,0.000000 ,50.210339 ,44.049088 ,23.434954 ,67.262962 ,43.905979
98 ,428 ,1014 ,52 ,89 ,800 ,1175.960571 ,344.948456 ,760.454529 ,744.845154 ,743.960815 ,698.658569 ,0.000000 ,50.954300 ,44.747746 ,24.025555 ,67.742004 ,44.604637
99 ,421 ,1068 ,51 ,85 ,800 ,1144.601685 ,344.948456 ,744.775085 ,744.845154 ,715.886780 ,699.268311 ,0.000000 ,51.670185 ,45.447014 ,24.609797 ,68.203903 ,45.303905
100 ,420 ,1170 ,48 ,83 ,800 ,1160.281128 ,344.948456 ,752.614807 ,744.845154 ,729.923828 ,697.682922 ,0.000000 ,52.400108 ,46.144699 ,25.206087 ,68.663109 ,46.001587
101 ,416 ,1250 ,48 ,75 ,800 ,1160.281128 ,376.307404 ,768.294250 ,744.845154 ,701.849792 ,701.951233 ,0.000000 ,53.101959 ,46.846649 ,25.820496 ,69.124382 ,46.703541
102 ,416 ,1250 ,48 ,75 ,800 ,1160.281128 ,376.307404 ,768.294250 ,744.845154 ,701.849792 ,705.182922 ,0.000000 ,53.803810 ,47.551834 ,26.440510 ,69.578102 ,47.408722
103 ,404 ,1341 ,47 ,68 ,800 ,1144.601685 ,360.627930 ,752.614807 ,744.845154 ,701.849792 ,710.792725 ,0.000000 ,54.505657 ,48.262627 ,27.053268 ,70.015091 ,48.119514
104 ,395 ,1486 ,48 ,66 ,800 ,1113.242676 ,376.307404 ,744.775085 ,744.845154 ,659.738831 ,714.878052 ,0.000000 ,55.165398 ,48.977505 ,27.664581 ,70.440506 ,48.834393
105 ,372 ,1578 ,46 ,62 ,800 ,1144.601685 ,376.307404 ,760.454529 ,744.845154 ,687.812805 ,717.500000 ,0.000000 ,55.853210 ,49.695004 ,28.293936 ,70.867363 ,49.551895
106 ,372 ,1578 ,46 ,62 ,800 ,1128.922241 ,407.666351 ,768.294250 ,744.845154 ,645.701843 ,715.914673 ,0.000000 ,56.498913 ,50.410919 ,28.934597 ,71.291428 ,50.267807
107 ,346 ,1646 ,44 ,61 ,800 ,1144.601685 ,391.986877 ,768.294250 ,744.845154 ,673.775818 ,707.804871 ,0.000000 ,57.172688 ,51.118725 ,29.580202 ,71.707924 ,50.975613
108 ,327 ,1686 ,47 ,58 ,800 ,1144.601685 ,360.627930 ,752.614807 ,744.845154 ,701.849792 ,695.243896 ,0.000000 ,57.874538 ,51.813969 ,30.217581 ,72.108147 ,51.670856
109 ,308 ,1670 ,43 ,61 ,800 ,1160.281128 ,360.627930 ,760.454529 ,744.845154 ,715.886780 ,685.548767 ,0.000000 ,58.590424 ,52.499516 ,30.866600 ,72.504463 ,52.356407
110 ,308 ,1670 ,43 ,61 ,800 ,1191.640137 ,344.948456 ,768.294250 ,744.845154 ,757.997803 ,680.304871 ,0.000000 ,59.348423 ,53.179821 ,31.527552 ,72.896149 ,53.036713
111 ,296 ,1613 ,46 ,73 ,800 ,1175.960571 ,329.268982 ,752.614807 ,744.845154 ,757.997803 ,678.475647 ,0.000000 ,60.106422 ,53.858295 ,32.180035 ,73.271248 ,53.715187
112 ,276 ,1512 ,41 ,75 ,800 ,1191.640137 ,297.910034 ,744.775085 ,744.845154 ,800.108765 ,679.939026 ,0.000000 ,60.906528 ,54.538235 ,32.830837 ,73.633385 ,54.395126
113 ,265 ,1414 ,36 ,80 ,800 ,1207.319580 ,313.589508 ,760.454529 ,744.845154 ,800.108765 ,686.097595 ,0.000000 ,61.706638 ,55.224335 ,33.500443 ,73.993828 ,55.081223
114 ,265 ,1414 ,36 ,80 ,800 ,1222.999023 ,313.589508 ,768.294250 ,744.845154 ,814.145752 ,693.658569 ,0.000000 ,62.520782 ,55.917992 ,34.182056 ,74.348335 ,55.774883
115 ,252 ,1337 ,32 ,85 ,800 ,1207.319580 ,313.589508 ,760.454529 ,744.845154 ,800.108765 ,699.085388 ,0.000000 ,63.320892 ,56.617077 ,34.861549 ,74.689774 ,56.473969
116 ,239 ,1258 ,29 ,89 ,800 ,1175.960571 ,329.268982 ,752.614807 ,744.845154 ,757.997803 ,701.768311 ,0.000000 ,64.078888 ,57.318844 ,35.538448 ,75.018768 ,57.175735
117 ,229 ,1164 ,31 ,89 ,800 ,1191.640137 ,329.268982 ,760.454529 ,744.845154 ,772.034790 ,702.500000 ,0.000000 ,64.850929 ,58.021347 ,36.226818 ,75.341942 ,57.878235
118 ,217 ,1109 ,30 ,88 ,800 ,1191.640137 ,329.268982 ,760.454529 ,744.845154 ,772.034790 ,702.743896 ,0.000000 ,65.622963 ,58.724091 ,36.919476 ,75.655815 ,58.580978
119 ,217 ,1109 ,30 ,88 ,800 ,1191.640137 ,344.948456 ,768.294250 ,744.845154 ,757.997803 ,700.975647 ,0.000000 ,66.380959 ,59.425064 ,37.623409 ,75.963631 ,59.281956
120 ,203 ,1070 ,28 ,90 ,800 ,1191.640137 ,344.948456 ,768.294250 ,744.845154 ,757.997803 ,698.902466 ,0.000000 ,67.138954 ,60.123966 ,38.331356 ,76.262115 ,59.980858
121 ,190 ,1030 ,33 ,91 ,800 ,1191.640137 ,329.268982 ,760.454529 ,744.845154 ,772.034790 ,696.402466 ,0.000000 ,67.910988 ,60.820370 ,39.035992 ,76.548080 ,60.677261
122 ,180 ,1006 ,34 ,87 ,800 ,1191.640137 ,344.948456 ,768.294250 ,744.845154 ,757.997803 ,695.304871 ,0.000000 ,68.668991 ,61.515675 ,39.751656 ,76.827553 ,61.372566
123 ,180 ,1006 ,34 ,87 ,800 ,1191.640137 ,329.268982 ,760.454529 ,744.845154 ,772.034790 ,696.036621 ,0.000000 ,69.441025 ,62.211712 ,40.463676 ,77.094604 ,62.068604
124 ,164 ,989 ,35 ,89 ,800 ,1191.640137 ,329.268982 ,760.454529 ,744.845154 ,772.034790 ,696.951233 ,0.000000 ,70.213058 ,62.908665 ,41.179234 ,77.352036 ,62.765553
125 ,158 ,972 ,40 ,96 ,800 ,1175.960571 ,344.948456 ,760.454529 ,744.845154 ,743.960815 ,701.707336 ,0.000000 ,70.957016 ,63.610371 ,41.898071 ,77.600151 ,63.467262
126 ,146 ,952 ,42 ,94 ,800 ,1175.960571 ,344.948456 ,760.454529 ,744.845154 ,743.960815 ,704.512207 ,0.000000 ,71.700981 ,64.314880 ,42.620068 ,77.838913 ,64.171776
127 ,146 ,952 ,42 ,94 ,800 ,1160.281128 ,360.627930 ,760.454529 ,744.845154 ,715.886780 ,708.170776 ,0.000000 ,72.416870 ,65.023056 ,43.344994 ,78.068642 ,64.879944
